URN,CTSURN,LatinName,EnglishName
urn:cite:chs:textgroup.tlg1167,urn:cts:greekLit:tlg1167:,Apollonius,Apollonius
urn:cite:chs:textgroup.tlg1168,urn:cts:greekLit:tlg1168:,Apollonius,"Apollonius the Sophist"
urn:cite:chs:textgroup.tlg1181,urn:cts:greekLit:tlg1181:,Aristarchus,Aristarchus
urn:cite:chs:textgroup.tlg1183,urn:cts:greekLit:tlg1183:,"Aristeae Epistula","Letter of Aristeas"
urn:cite:chs:textgroup.tlg1204,urn:cts:greekLit:tlg1204:,Athenaeus,"Athenaeus Mechanicus"
urn:cite:chs:textgroup.tlg1205,urn:cts:greekLit:tlg1205:,Athenagoras,Athenagoras
urn:cite:chs:textgroup.tlg1210,urn:cts:greekLit:tlg1210:,Autolycus,Autolycus
urn:cite:chs:textgroup.tlg1216,urn:cts:greekLit:tlg1216:,"Barnabae Epistula","Epistle of Barnabas"
urn:cite:chs:textgroup.tlg1220,urn:cts:greekLit:tlg1220:,Batrachomyomachia,"Battle of Frogs and Mice"
urn:cite:chs:textgroup.tlg1252,urn:cts:greekLit:tlg1252:,"Certamen Homeri Et Hesiodi","Contest of Homer and Hesiod"
urn:cite:chs:textgroup.tlg1272,urn:cts:greekLit:tlg1272:,Cleomedes,Cleomedes
urn:cite:chs:textgroup.tlg1302,urn:cts:greekLit:tlg1302:,Demetrius,Demetrius
urn:cite:chs:textgroup.tlg1306,urn:cts:greekLit:tlg1306:,Bolus,Bolus
urn:cite:chs:textgroup.tlg1337,urn:cts:greekLit:tlg1337:,Dorotheus,Dorotheus
urn:cite:chs:textgroup.tlg1350,urn:cts:greekLit:tlg1350:,"Epistula Ad Diognetum","Epistle to Diognetus"
urn:cite:chs:textgroup.tlg1352,urn:cts:greekLit:tlg1352:,"Epistula Ecclesiarum Apud Lugdunum Et Viennam","Letter from Vienna and Lyons"
urn:cite:chs:textgroup.tlg1365,urn:cts:greekLit:tlg1365:,"Melampus Scriptor De Divinatione",Melampus
urn:cite:chs:textgroup.tlg1366,urn:cts:greekLit:tlg1366:,"Evangelium Bartholomaei","The Gospel of Bartholomew"
urn:cite:chs:textgroup.tlg1367,urn:cts:greekLit:tlg1367:,"Euripidis Epistulae","The Letters of Euripides"
urn:cite:chs:textgroup.tlg1371,urn:cts:greekLit:tlg1371:,"Evangelium Petri","The Gospel of Peter"
urn:cite:chs:textgroup.tlg1376,urn:cts:greekLit:tlg1376:,Eudemus,"Eudemus (of Rhodes)"
urn:cite:chs:textgroup.tlg1383,urn:cts:greekLit:tlg1383:,Geminus,"Geminus (of Rhodes)"
urn:cite:chs:textgroup.tlg1389,urn:cts:greekLit:tlg1389:,Harpocration,Harpocration
urn:cite:chs:textgroup.tlg1402,urn:cts:greekLit:tlg1402:,Hephaestion,Hephaestion
urn:cite:chs:textgroup.tlg1405,urn:cts:greekLit:tlg1405:,"Heraclides Criticus","Heraclides Criticus"
urn:cite:chs:textgroup.tlg1407,urn:cts:greekLit:tlg1407:,"Heraclides Lembus","Heraclides Lembus"
urn:cite:chs:textgroup.tlg1416,urn:cts:greekLit:tlg1416:,"Herennius Philo","Philo of Byblos"
urn:cite:chs:textgroup.tlg1419,urn:cts:greekLit:tlg1419:,Hermas,"The Shepard of Hermas"
urn:cite:chs:textgroup.tlg1426,urn:cts:greekLit:tlg1426:,"Herodes Atticus","Herodes Atticus"
urn:cite:chs:textgroup.tlg1431,urn:cts:greekLit:tlg1431:,Hipparchus,Hipparchus
